sample_id,mouse,marker,age,supplier_id,pool_id
MD7816bj,MD7816,B1a,,B1a_PC_341,
MD7816bk,MD7816,B2,,B2_PC_341,
MD7816r,MD7816,Br,,Br_341,
MD7816al,MD7816,CD11b+,,CD11b+_Thy_341,
MD7816ap,MD7816,CD11b+,,CD11b+_LN_341,
MD7816av,MD7816,CD169+,,CD169+_Sp_341,
MD7816ae,MD7816,CD4+,,CD4+_Thy_341,
MD7816bf,MD7816,CD4+,,CD4+_Lu_341,
MD7816aq,MD7816,CD4+CD8+,,CD4+CD8+_LN_341,
MD7816ar,MD7816,CD4-CD8-,,CD4-CD8-_LN_341,
MD7816bo,MD7816,CD45-,,CD45-_WAT_341,
MD7816az,MD7816,CD5+,,CD5+_Sp_341,
MD7816af,MD7816,CD8+,,CD8+_Thy_341,
MD7816bg,MD7816,CD8+,,CD8+_Lu_341,
MD7816z,MD7816,Col,,Col_341,
MD7816t,MD7816,Ey,,Ey_341,
MD7816ax,MD7816,FoB,,FoB_Sp_341,
MD7816ad,MD7816,Go,,Go_341,
MD7816v,MD7816,Hrt,,Hrt_341,
MD7816aj,MD7816,ILC2,,ILC2_Thy_341,
MD7816an,MD7816,ILC2,,ILC2_LN_341,
MD7816bc,MD7816,ILC2,,ILC2_Lu_341,
MD7816ak,MD7816,ILC3,,ILC3_Thy_341,
MD7816aa,MD7816,Kid,,Kid_341,
MD7816bm,MD7816,LPM,,LPM_PC_341,
MD7816aw,MD7816,MZB,,MZB_Sp_341,
MD7816am,MD7816,NK,,NK_LN_341,
MD7816bb,MD7816,NK,,NK_Lu_341,
MD7816at,MD7816,RPM,,RPM_CD11b-_Sp_341,
MD7816au,MD7816,SIGN-R1+,,SIGN-R1+_Sp_341,
MD7816bl,MD7816,SPM,,SPM_PC_341,
MD7816u,MD7816,Sk,,Sk_341,
MD7816w,MD7816,Sk,,Sk_m_341,
MD7816s,MD7816,Sp,,Sp_c_341,
MD7816ac,MD7816,Ta,,Ta_341,
MD7816ah,MD7816,Treg,,Treg_Thy_341,
MD7816ab,MD7816,WAT,,WAT_341,
MD7816ay,MD7816,iNKT,,iNKT_Sp_341,
MD7816h,MD7816,B220+,15w,B220+_341_15w,MD7816_Bcell
MD7816l,MD7816,B220+,21w,B220+_341_21w,MD7816_Bcell
MD7816p,MD7816,B220+,27w,B220+_341_27w,MD7816_Bcell
MD7816d,MD7816,B220+,9w,B220+_341_9w,MD7816_Bcell
MD7816k,MD7816,CD11b+,21w,CD11b+_341_21w,MD7816_Myeloid
MD7816o,MD7816,CD11b+,27w,CD11b+_341_27w,MD7816_Myeloid
MD7816c,MD7816,CD11b+,9w,CD11b+_341_9w,MD7816_Myeloid
MD7816f,MD7816,GM,15w,GM_341_15w,MD7816_Myeloid
MD7816j,MD7816,GM,21w,GM_341_21w,MD7816_Myeloid
MD7816n,MD7816,GM,27w,GM_341_27w,MD7816_Myeloid
MD7816i,MD7816,CD3e+,15w,CD3e+_341_15w,MD7816_Tcell
MD7816m,MD7816,CD3e+,21w,CD3e+_341_21w,MD7816_Tcell
MD7816q,MD7816,CD3e+,27w,CD3e+_341_27w,MD7816_Tcell
MD7816e,MD7816,CD3e+,9w,CD3e+_341_9w,MD7816_Tcell
MD7817bl,MD7817,B1a,,B1a_PC_348,
MD7817bm,MD7817,B2,,B2_PC_348,
MD7817ac,MD7817,Bl,,Bl_348,
MD7817x,MD7817,Bn,,Bn_348,
MD7817r,MD7817,Br,,Br_348,
MD7817am,MD7817,CD11b+,,CD11b+_Thy_348,
MD7817aq,MD7817,CD11b+,,CD11b+_LN_348,
MD7817ay,MD7817,CD169+,,CD169+_Sp_348,
MD7817ao,MD7817,CD4,,CD4_CD8_LN_348,
MD7817ah,MD7817,CD4+,,CD4+_Thy_348,
